Year,Discipline,Discipline If Other,Specialty,Role,Role If Other,Sector,Age,Gender,Gender If Other,Race,US Citizen,Arctic
2017,Earth Science,NA,Terrestrial Ecosystems,Postdoctoral Researcher,NA,Academia,35-39,Male,NA,White,Yes,Not asked
2017,Social Science,NA,Environmental Archaeology,Other,Research assistant,Academia,25-29,Male,NA,White,No,Not asked
2017,Computer Science or Engineering,NA,Water Resources Engineering,Professional Researcher,NA,Academia,40-49,Male,NA,Two or more,Yes,Not asked
2017,Earth Science,NA,Climatology/Paleoclimatology,Professional Researcher,NA,Academia,40-49,Male,NA,White,No,Not asked
2017,Environmental Science,NA,Physical Limnology,Postdoctoral Researcher,NA,Academia,30-34,Female,NA,"Hispanic, Latino, or Spanish origin",No,Not asked
2017,Environmental Science,NA,Decline to answer,Other,Analyst,Academia,40-49,Female,NA,White,Yes,Not asked
2017,Earth Science,NA,Decline to answer,Professor,NA,Academia,50+,Male,NA,White,Yes,Not asked
2017,Other,Ecology,Decline to answer,Other,Research Technician,Academia,50+,Female,NA,White,Yes,Not asked
2017,Earth Science,NA,Remote Sensing,Postdoctoral Researcher,NA,Government/Agency,30-34,Female,NA,"Hispanic, Latino, or Spanish origin",Yes,Not asked
2017,Environmental Science,NA,Climate Change and Ecosystem Modeling,Professional Researcher,NA,Academia,35-39,Male,NA,White,Yes,Not asked
2017,Biology,NA,Fisheries biology,Other,Research Technician,Academia,25-29,Female,NA,White,Yes,Not asked
2017,Earth Science,NA,Atmospheric chemistry,Graduate Student,NA,Academia,25-29,Female,NA,White,Yes,Not asked
2017,Environmental Science,NA,"paleoclimate, atmospheric chemistry",Postdoctoral Researcher,NA,Academia,30-34,Female,NA,White,Yes,Not asked
2020,Earth Science,NA,Remote sensing,Professional Researcher,NA,Academia,50+,Male,NA,White,Yes,No
2020,Biology,NA,Ecology / Biogeochemistry,Graduate Student,NA,Academia,25-29,Female,NA,Asian,Yes,No
2020,Biology,NA,Decline to answer,Professional Researcher,NA,Academia,40-49,Female,NA,White,Yes,No
2020,Environmental Science,NA,GIS and mapping,Graduate Student,NA,Academia,40-49,Male,NA,White,Yes,No
2020,Biology,NA,Microbial ecology,Graduate Student,NA,Academia,18-24,Female,NA,White,Yes,No
2020,Earth Science,NA,Climatology/paleoclimatology,Postdoctoral Researcher,NA,Academia,35-39,Male,NA,White,No,No
2020,Biology,NA,Mammalian ecology,Professor,NA,Academia,50+,Male,NA,White,Yes,No
2020,Earth Science,NA,Chemical Oceanography,Graduate Student,NA,Academia,30-34,Female,NA,White,Yes,No
2020,Biology,NA,Zoology/Mammalogy,Graduate Student,NA,Academia,18-24,Male,NA,White,Yes,No
2020,Computer Science or Engineering,NA,Decline to answer,Graduate Student,NA,Academia,25-29,Female,NA,White,Yes,No
2020,Earth Science,NA,Paleoclimate,Postdoctoral Researcher,NA,Academia,30-34,Male,NA,White,Yes,No
2020,Biology,NA,biogeosciences,Graduate Student,NA,Academia,30-34,Male,NA,White,Yes,No
2020,Environmental Science,NA,Decline to answer,Graduate Student,NA,Academia,30-34,Female,NA,White,No,No
2020,Earth Science,NA,Paleoclimate / paleoecology,Postdoctoral Researcher,NA,Academia,30-34,Female,NA,White,Yes,No
2018,Other,Natural Sciences,Decline to answer,Professor,NA,Academia,40-49,Female,NA,White,Yes,"Yes, I live in the Arctic region"
2018,Mathematics or Statistics,NA,Applied Mathematics,Professor,NA,Academia,30-34,Male,NA,White,Yes,No
2018,Earth Science,NA,Geosciences,Graduate Student,NA,Academia,25-29,Female,NA,Asian,No,No
2018,Chemistry,NA,Decline to answer,Other,Research Assistant,Non-profit,25-29,Female,NA,Decline to answer,No,"Yes, I am a national of an Arctic region"
2018,Earth Science,NA,Geodetic science,Graduate Student,NA,Academia,25-29,Male,NA,Asian,No,No
2018,Environmental Science,NA,Aquatic Ecology,Postdoctoral Researcher,NA,Academia,25-29,Male,NA,White,Yes,No
2018,Earth Science,NA,Remote Sensing of Arctic and Boreal ecosystems,Graduate Student,NA,Academia,30-34,Male,NA,Asian,No,No
